iter	RMSE
0	121.4750256
1	121.1279737
2	120.7820776
3	120.4371457
4	120.0934349
5	119.7506876
6	119.4091358
7	119.0687153
8	118.729061
9	118.390619
10	118.0533107
11	117.7168551
12	117.3814775
13	117.047167
14	116.7137387
15	116.3814533
16	116.0503589
17	115.7201945
18	115.3912056
19	115.0631686
20	114.7362968
21	114.4103259
22	114.0852202
23	113.7614831
24	113.4384115
25	113.1167029
26	112.7957883
27	112.4758171
28	112.1570221
29	111.8392166
30	111.5224175
31	111.2065591
32	110.8915714
33	110.5777792
34	110.2648494
35	109.9530136
36	109.6419261
37	109.3318832
38	109.0232628
39	108.7154408
40	108.4087576
41	108.102511
42	107.7973783
43	107.4932444
44	107.1900214
45	106.8880838
46	106.5868324
47	106.2866545
48	105.9875015
49	105.6894367
50	105.3922675
51	105.0959874
52	104.800823
53	104.5064654
54	104.2130605
55	103.9204268
56	103.6286239
57	103.3378805
58	103.0481986
59	102.7592824
60	102.4712579
61	102.1840529
62	101.8979853
63	101.6128124
64	101.3283798
65	101.0448013
66	100.7623216
67	100.4804053
68	100.1996572
69	99.92009168
70	99.64153674
71	99.36350487
72	99.08640866
73	98.81015709
74	98.5344924
75	98.25999835
76	97.98638629
77	97.71369672
78	97.4418116
79	97.1709376
80	96.90092131
81	96.63179468
82	96.36337184
83	96.09572553
84	95.82880828
85	95.56296169
86	95.29819242
87	95.03439388
88	94.77127951
89	94.5088674
90	94.24742691
91	93.98679973
92	93.72698644
93	93.46790454
94	93.2098044
95	92.95239564
96	92.69586324
97	92.4402046
98	92.18547606
99	91.931503
100	91.67835228
101	91.42606041
102	91.1744355
103	90.92360723
104	90.6736538
105	90.4246569
106	90.17641013
107	89.92884577
108	89.68218408
109	89.43640862
110	89.19137184
111	88.94709935
112	88.70368629
113	88.46109615
114	88.21908846
115	87.9779024
116	87.73745528
117	87.49795575
118	87.25919291
119	87.02122719
120	86.78381963
121	86.54731773
122	86.31161244
123	86.07660404
124	85.84240405
125	85.6089017
126	85.37619155
127	85.14444759
128	84.91335889
129	84.6831916
130	84.45360148
131	84.22465494
132	83.99659859
133	83.76925387
134	83.54281833
135	83.31702855
136	83.09196297
137	82.86769479
138	82.64400731
139	82.420922
140	82.19883856
141	81.97751417
142	81.75693265
143	81.53706875
144	81.31783684
145	81.0994379
146	80.88165257
147	80.66474039
148	80.44860215
149	80.23288845
150	80.01804669
151	79.80378327
152	79.59046717
153	79.37767553
154	79.1656435
155	78.95427008
156	78.74363582
157	78.53375307
158	78.32458646
159	78.11602736
160	77.90812421
161	77.70088174
162	77.49445308
163	77.28858104
164	77.08355086
165	76.87908713
166	76.67536403
167	76.47245892
168	76.27018653
169	76.06843965
170	75.86743975
171	75.6671424
172	75.46746111
173	75.26855226
174	75.07026063
175	74.87258445
176	74.67570934
177	74.47945186
178	74.28373909
179	74.08881291
180	73.89435875
181	73.70063867
182	73.50761648
183	73.31520262
184	73.12338834
185	72.93236986
186	72.74188293
187	72.55228829
188	72.36300683
189	72.17446319
190	71.98652475
191	71.79931876
192	71.61263211
193	71.42658131
194	71.24112323
195	71.05619192
196	70.87206836
197	70.68869006
198	70.50584054
199	70.32368495
200	70.14216339
201	69.96112286
202	69.78075613
203	69.60117706
204	69.42233507
205	69.24380267
206	69.06595016
207	68.88882606
208	68.71221208
209	68.53606039
210	68.36056847
211	68.18580938
212	68.01162782
213	67.83809748
214	67.66510939
215	67.49242148
216	67.32053321
217	67.14922388
218	66.97850741
219	66.80833659
220	66.63877036
221	66.4697608
222	66.30147993
223	66.13370937
224	65.96648449
225	65.79993075
226	65.63391192
227	65.46845027
228	65.30361471
229	65.13930733
230	64.97556505
231	64.81239175
232	64.64992551
233	64.48784568
234	64.3263002
235	64.16547688
236	64.00505717
237	63.84549586
238	63.68626102
239	63.5275589
240	63.36944431
241	63.21196383
242	63.05509768
243	62.89878217
244	62.74297758
245	62.5875449
246	62.43267952
247	62.27845835
248	62.12478924
249	61.97167255
250	61.81925473
251	61.66714094
252	61.51560298
253	61.36461896
254	61.21416921
255	61.0642119
256	60.91476343
257	60.76579157
258	60.61750252
259	60.46963103
260	60.32223624
261	60.17542143
262	60.02916436
263	59.88333328
264	59.73819344
265	59.59336271
266	59.44926354
267	59.30559405
268	59.16236229
269	59.01953385
270	58.87733681
271	58.73571695
272	58.5946101
273	58.4540474
274	58.31398021
275	58.1743791
276	58.03511394
277	57.8965327
278	57.75825871
279	57.62069236
280	57.48370087
281	57.34719641
282	57.21104873
283	57.0754317
284	56.94025168
285	56.80564765
286	56.67147663
287	56.53776649
288	56.40466074
289	56.27194788
290	56.13980547
291	56.00804233
292	55.87680922
293	55.74606685
294	55.61580797
295	55.48593503
296	55.35656741
297	55.2276977
298	55.09929624
299	54.97137951
300	54.84401293
301	54.71698407
302	54.59053572
303	54.46446
304	54.33882421
305	54.21367899
306	54.08885135
307	53.96466772
308	53.84084039
309	53.71766566
310	53.59479466
311	53.47243918
312	53.35044605
313	53.22896509
314	53.10788487
315	52.9872792
316	52.8671636
317	52.74747642
318	52.6282607
319	52.50957054
320	52.39120858
321	52.27326371
322	52.15567737
323	52.03869285
324	51.92209039
325	51.80594265
326	51.69022086
327	51.57481846
328	51.45995597
329	51.3455879
330	51.23158975
331	51.11802926
332	51.00482314
333	50.89208149
334	50.77987085
335	50.66793701
336	50.55649919
337	50.44550326
338	50.33492974
339	50.22485139
340	50.11515385
341	50.0059036
342	49.89709001
343	49.78860515
344	49.68055419
345	49.57293534
346	49.46570151
347	49.3588582
348	49.25240364
349	49.1462783
350	49.04054553
351	48.93523521
352	48.83044654
353	48.72608861
354	48.62209113
355	48.51848539
356	48.41530908
357	48.31247108
358	48.21009798
359	48.10811129
360	48.00656624
361	47.90544258
362	47.80459205
363	47.70423145
364	47.60423567
365	47.5045927
366	47.40528658
367	47.30643285
368	47.20797786
369	47.10990217
370	47.01215881
371	46.9147803
372	46.81784841
373	46.72124757
374	46.62513851
375	46.52934565
376	46.4339609
377	46.33883418
378	46.24415869
379	46.14993135
380	46.05595901
381	45.96238416
382	45.86929773
383	45.77650966
384	45.68401673
385	45.59187312
386	45.50010366
387	45.40872197
388	45.31779403
389	45.2271951
390	45.13692071
391	45.04691422
392	44.95736187
393	44.86817947
394	44.77933449
395	44.69085745
396	44.60270361
397	44.51489501
398	44.42748342
399	44.34040897
400	44.25373704
401	44.16738829
402	44.08134346
403	43.9956157
404	43.91036849
405	43.82539605
406	43.74082326
407	43.65651208
408	43.57270412
409	43.48904295
410	43.4057864
411	43.32278188
412	43.24017295
413	43.15793064
414	43.07605896
415	42.99440959
416	42.91323376
417	42.83229202
418	42.75167491
419	42.67148307
420	42.59158586
421	42.51201936
422	42.43276735
423	42.35384833
424	42.27528567
425	42.19704082
426	42.11916219
427	42.0415481
428	41.9642192
429	41.88719036
430	41.81051059
431	41.7341991
432	41.65822
433	41.58250857
434	41.5071529
435	41.43203117
436	41.35724832
437	41.2828235
438	41.20873257
439	41.13497162
440	41.06145056
441	40.98823375
442	40.9153558
443	40.84279343
444	40.7704812
445	40.69856446
446	40.6268833
447	40.55551904
448	40.48445946
449	40.41373608
450	40.34328939
451	40.27313261
452	40.20330317
453	40.13372934
454	40.06444746
455	39.99544369
456	39.92674641
457	39.8583451
458	39.79024337
459	39.72245726
460	39.65497822
461	39.58772292
462	39.52075634
463	39.45405334
464	39.38771244
465	39.32160632
466	39.25574664
467	39.19022627
468	39.1249546
469	39.05998523
470	38.99533907
471	38.93096282
472	38.86684062
473	38.80302978
474	38.73950936
475	38.67624423
476	38.61322665
477	38.5505057
478	38.48803371
479	38.42585873
480	38.36399383
481	38.30236559
482	38.24102898
483	38.17993079
484	38.11909384
485	38.0584961
486	37.99822093
487	37.93822059
488	37.87847469
489	37.81897342
490	37.75974414
491	37.70080106
492	37.64209792
493	37.58365525
494	37.52546707
495	37.46752715
496	37.40983692
497	37.35241579
498	37.29522487
499	37.23831709
500	37.18166669
501	37.12524133
502	37.06910708
503	37.01321675
504	36.95760763
505	36.90219761
506	36.84706621
507	36.79215925
508	36.73748928
509	36.6830667
510	36.62890548
511	36.57499073
512	36.52129123
513	36.46786563
514	36.41470211
515	36.36176835
516	36.30906852
517	36.25662254
518	36.20440569
519	36.15242585
520	36.10067147
521	36.04911853
522	35.99785027
523	35.94678428
524	35.89596624
525	35.84541366
526	35.7950867
527	35.74496013
528	35.69506499
529	35.64541296
530	35.59597838
531	35.54675954
532	35.49782497
533	35.44908044
534	35.400556
535	35.35228411
536	35.30421912
537	35.25635687
538	35.20875014
539	35.16133056
540	35.11411652
541	35.06714141
542	35.0203895
543	34.97383243
544	34.92747701
545	34.88136204
546	34.83543622
547	34.78976267
548	34.74427071
549	34.69901925
550	34.65401507
551	34.6092223
552	34.56457813
553	34.52018223
554	34.4760189
555	34.43202313
556	34.38826508
557	34.34468932
558	34.30132174
559	34.25812826
560	34.21516284
561	34.17244328
562	34.12991614
563	34.08757367
564	34.04542393
565	34.00346921
566	33.96175116
567	33.92022052
568	33.87887204
569	33.83772458
570	33.79676894
571	33.75599459
572	33.71541987
573	33.67503286
574	33.63485791
575	33.59488088
576	33.55508416
577	33.51547317
578	33.47607326
579	33.43685507
580	33.39781388
581	33.35898063
582	33.32031286
583	33.28184956
584	33.24355185
585	33.20542086
586	33.16749545
587	33.12975353
588	33.0922146
589	33.05485312
590	33.01765683
591	32.98066752
592	32.94384544
593	32.90722475
594	32.87077477
595	32.83448843
596	32.79837277
597	32.76243944
598	32.72666622
599	32.69107883
600	32.65565918
601	32.62043254
602	32.58538437
603	32.55050952
604	32.51580029
605	32.48129575
606	32.44694303
607	32.41273889
608	32.37872199
609	32.34485093
610	32.31113824
611	32.27758158
612	32.24421603
613	32.21100563
614	32.17797709
615	32.14511312
616	32.11239859
617	32.07985654
618	32.04746943
619	32.01522629
620	31.98314673
621	31.95125216
622	31.91949451
623	31.88792102
624	31.85647512
625	31.82521372
626	31.79409826
627	31.76313592
628	31.73233019
629	31.70166202
630	31.67114427
631	31.64080718
632	31.61061327
633	31.58056514
634	31.55067583
635	31.52094612
636	31.49135804
637	31.4619234
638	31.4326298
639	31.40349278
640	31.37450728
641	31.34565841
642	31.31696882
643	31.288393
644	31.25998072
645	31.23172803
646	31.20360181
647	31.17562177
648	31.14778971
649	31.12008407
650	31.09252356
651	31.06511507
652	31.03784146
653	31.01070317
654	30.98369688
655	30.95684863
656	30.93012999
657	30.90354414
658	30.87710544
659	30.85078691
660	30.82461285
661	30.79857372
662	30.77266899
663	30.74689892
664	30.72124511
665	30.69574804
666	30.67036551
667	30.64510991
668	30.61998767
669	30.59500008
670	30.57014145
671	30.5454048
672	30.52079825
673	30.49633015
674	30.47197974
675	30.44775724
676	30.42365341
677	30.39968529
678	30.3758391
679	30.35212588
680	30.32853116
681	30.30505707
682	30.28171094
683	30.25846888
684	30.2353588
685	30.21237422
686	30.18950538
687	30.16673799
688	30.14412096
689	30.12159601
690	30.09919406
691	30.07691156
692	30.05475233
693	30.03271259
694	30.01078381
695	29.98897346
696	29.96726943
697	29.94568887
698	29.92421407
699	29.90285548
700	29.88161027
701	29.86047145
702	29.83944757
703	29.81853829
704	29.79774004
705	29.77704944
706	29.75647303
707	29.735994
708	29.71563345
709	29.69537283
710	29.67522637
711	29.65519986
712	29.63525943
713	29.61543546
714	29.59570982
715	29.57609263
716	29.5565755
717	29.53717532
718	29.5178628
719	29.49866046
720	29.4795517
721	29.46055353
722	29.44165431
723	29.42284871
724	29.40415374
725	29.38555161
726	29.36704846
727	29.34864697
728	29.33034567
729	29.31214255
730	29.29404068
731	29.27602882
732	29.25811638
733	29.24030288
734	29.22258536
735	29.20496156
736	29.18743147
737	29.16999702
738	29.15265866
739	29.13540415
740	29.11824546
741	29.101182
742	29.08421172
743	29.06732675
744	29.05053607
745	29.0338342
746	29.01722634
747	29.00070763
748	28.98428297
749	28.96794445
750	28.95169554
751	28.93553271
752	28.91946182
753	28.90347629
754	28.8875743
755	28.87175898
756	28.85603133
757	28.84038551
758	28.82482591
759	28.8093562
760	28.79396924
761	28.77865801
762	28.76343891
763	28.74829577
764	28.73324296
765	28.71827091
766	28.7033805
767	28.68857506
768	28.67384476
769	28.65919848
770	28.64462966
771	28.63013948
772	28.61573048
773	28.60140116
774	28.58715073
775	28.57297657
776	28.5588797
777	28.54485496
778	28.53091174
779	28.51704516
780	28.5032573
781	28.48954563
782	28.47590728
783	28.46234464
784	28.44885677
785	28.4354304
786	28.42208839
787	28.40882377
788	28.3956226
789	28.38250041
790	28.3694525
791	28.35647449
792	28.34357287
793	28.33073513
794	28.31797477
795	28.30528661
796	28.29266385
797	28.28010993
798	28.26763215
799	28.25522171
800	28.24287932
801	28.2306018
802	28.21839178
803	28.20625307
804	28.19417882
805	28.18217276
806	28.17023542
807	28.1583588
808	28.14655022
809	28.13481041
810	28.12312925
811	28.11151861
812	28.09996807
813	28.08848744
814	28.0770711
815	28.0657021
816	28.05441259
817	28.04318337
818	28.03201809
819	28.02091125
820	28.00987039
821	27.9988904
822	27.98797242
823	27.97711601
824	27.96631886
825	27.95558792
826	27.94490877
827	27.93429047
828	27.92373244
829	27.9132357
830	27.90279168
831	27.89241297
832	27.88208542
833	27.87181239
834	27.8616048
835	27.85145573
836	27.84136137
837	27.83132629
838	27.8213401
839	27.81141504
840	27.80155148
841	27.79172275
842	27.78196268
843	27.77223879
844	27.76259028
845	27.752998
846	27.74345895
847	27.73396911
848	27.72453883
849	27.71515632
850	27.70582196
851	27.69655317
852	27.6873227
853	27.67815606
854	27.66902907
855	27.65994617
856	27.65092972
857	27.64196659
858	27.63304726
859	27.62418181
860	27.61537095
861	27.60660999
862	27.59789021
863	27.5892175
864	27.58059498
865	27.57200756
866	27.56348542
867	27.55501356
868	27.54658483
869	27.53820344
870	27.52987927
871	27.52159673
872	27.51334773
873	27.50515906
874	27.49702203
875	27.48892964
876	27.48087412
877	27.47287176
878	27.46490985
879	27.45699607
880	27.44911836
881	27.44129598
882	27.43351928
883	27.4257803
884	27.41809937
885	27.41045757
886	27.40285925
887	27.39530028
888	27.38778616
889	27.3803117
890	27.37288287
891	27.36549368
892	27.35814552
893	27.3508361
894	27.34355868
895	27.33633498
896	27.32915448
897	27.32201702
898	27.31492232
899	27.30785566
900	27.30083731
901	27.2938595
902	27.28691576
903	27.28001957
904	27.27316463
905	27.2663464
906	27.25956735
907	27.25283601
908	27.24614127
909	27.23948349
910	27.23286725
911	27.22627722
912	27.2197326
913	27.2132265
914	27.20674659
915	27.20030447
916	27.19390259
917	27.18753908
918	27.18121151
919	27.17492365
920	27.1686596
921	27.16243003
922	27.15623903
923	27.15009164
924	27.14397955
925	27.13789295
926	27.13184867
927	27.12582937
928	27.11985754
929	27.11392059
930	27.10801997
931	27.10215214
932	27.09632188
933	27.09051741
934	27.08475107
935	27.07901751
936	27.07330272
937	27.0676241
938	27.06198965
939	27.05639102
940	27.05082602
941	27.04527708
942	27.03976225
943	27.0342895
944	27.02883545
945	27.02341621
946	27.01802924
947	27.01267054
948	27.00735559
949	27.00204675
950	26.9967872
951	26.99155861
952	26.98635824
953	26.98118391
954	26.97604941
955	26.97093224
956	26.96584831
957	26.96079405
958	26.95577512
959	26.9507861
960	26.94581935
961	26.94086992
962	26.9359551
963	26.93106739
964	26.92622264
965	26.92139513
966	26.91659855
967	26.9118272
968	26.90709093
969	26.90236334
970	26.89767649
971	26.8930239
972	26.8883884
973	26.88377928
974	26.8792069
975	26.87465086
976	26.87012699
977	26.86562389
978	26.86114751
979	26.8567052
980	26.8522851
981	26.84788952
982	26.84351953
983	26.83918456
984	26.83485769
985	26.83056408
986	26.82629829
987	26.82204048
988	26.81781628
989	26.81362537
990	26.80946687
991	26.80532088
992	26.80118081
993	26.79707418
994	26.79299289
995	26.78894043
996	26.78491479
997	26.78091104
998	26.77693028
999	26.772968
1000	26.76902725
1001	26.76511745
1002	26.76120928
1003	26.75734365
1004	26.75351171
1005	26.74967936
1006	26.74587922
1007	26.74209474
1008	26.73833767
1009	26.73459129
1010	26.73085838
1011	26.7271808
1012	26.72350369
1013	26.71985154
1014	26.71622981
1015	26.71262356
1016	26.70904339
1017	26.70546988
1018	26.70192637
1019	26.69840268
1020	26.69489725
1021	26.69142944
1022	26.68796192
1023	26.68451194
1024	26.68109421
1025	26.67767829
1026	26.67429891
1027	26.67094364
1028	26.66760879
1029	26.66428323
1030	26.66097916
1031	26.65769583
1032	26.65442958
