iter	Passed	Remaining
0	771	384847
1	1388	345638
2	2091	346471
3	2838	351974
4	3511	347597
5	4202	345982
6	4910	345844
7	5627	346121
8	6395	348896
9	7081	346973
10	7739	344052
11	8482	344958
12	9237	346064
13	9991	346856
14	10817	349752
15	11552	349456
16	12351	350935
17	13049	349425
18	13676	346226
19	14387	345291
20	15151	345608
21	15907	345616
22	16551	343254
23	17198	341097
24	17963	341311
25	18688	340700
26	19415	340132
27	20142	339549
28	20824	338211
29	21672	339532
30	22404	338962
31	23186	339098
32	24027	340024
33	24774	339557
34	25478	338505
35	26143	336962
36	26854	336041
37	27528	334684
38	28234	333744
39	28992	333412
40	29713	332649
41	30395	331455
42	31102	330553
43	31779	329353
44	32485	328460
45	33166	327343
46	33952	327239
47	34693	326699
48	35404	325862
49	36154	325392
50	36798	323968
51	37453	322679
52	38173	321951
53	38873	321069
54	39492	319527
55	40241	319055
56	40869	317636
57	41564	316747
58	42374	316733
59	43157	316489
60	43903	315958
61	44650	315435
62	45444	315225
63	46220	314875
64	46932	314087
65	47631	313213
66	48400	312797
67	49068	311728
68	49772	310898
69	50426	309765
70	51124	308909
71	51812	307995
72	52500	307092
73	53244	306517
74	54090	306510
75	54881	306178
76	55764	306345
77	56518	305781
78	57239	305034
79	57929	304130
80	58717	303737
81	59359	302587
82	60006	301476
83	60703	300627
84	61511	300322
85	62358	300193
86	63064	299375
87	63829	298840
88	64508	297897
89	65332	297626
90	66117	297163
91	66859	296508
92	67064	293496
93	67787	292783
94	68525	292134
95	69251	291434
96	70065	291095
97	70809	290465
98	71539	289769
99	72228	288912
100	72947	288178
101	73721	287658
102	74479	287069
103	74712	284482
104	75496	284008
105	76219	283307
106	76889	282409
107	77584	281603
108	78302	280883
109	78976	280007
110	79802	279667
111	80685	279516
112	81432	278888
113	82140	278124
114	82880	277468
115	83605	276763
116	84277	275882
117	85033	275278
118	85719	274447
119	86535	274030
120	87229	273222
121	87897	272336
122	88687	271830
123	89411	271118
124	90071	270213
125	90790	269490
126	91557	268904
127	92290	268219
128	93026	267542
129	93764	266868
130	94487	266153
131	95259	265570
132	96017	264950
133	96742	264236
134	97484	263568
135	97826	261830
136	98542	261102
137	99217	260265
138	99891	259431
139	100592	258666
140	101322	257976
141	102019	257204
142	102742	256498
143	103464	255787
144	104159	255011
145	104811	254133
146	105574	253522
147	106317	252864
148	107155	252425
149	107884	251731
150	108578	250954
151	109312	250269
152	110012	249505
153	110681	248673
154	111375	247899
155	112089	247170
156	112830	246502
157	113467	245605
158	114153	244819
159	114917	244198
160	115435	243060
161	116193	242428
162	116868	241622
163	117588	240912
164	118298	240181
165	119018	239470
166	119710	238704
167	120431	237995
168	121106	237197
169	121724	236289
170	122423	235539
171	123115	234778
172	123810	234023
173	124485	233230
174	125197	232509
175	125918	231805
176	126703	231215
177	127404	230472
178	128120	229758
179	128807	228991
180	129486	228210
181	130203	227498
182	130908	226764
183	131655	226103
184	132349	225351
185	133082	224665
186	133760	223887
187	134453	223135
188	135134	222363
189	135853	221655
190	136581	220961
191	137443	220481
192	138170	219783
193	138899	219089
194	139633	218400
195	140300	217608
196	141015	216892
197	141742	216192
198	142467	215490
199	143175	214763
200	143977	214175
201	144694	213459
202	145399	212727
203	146110	212003
204	146753	211181
205	147495	210503
206	148199	209770
207	148987	209155
208	149679	208405
209	150399	207694
210	151148	207023
211	151914	206374
212	152604	205622
213	153239	204796
214	153939	204058
215	154602	203273
216	155251	202470
217	155967	201756
218	156733	201105
219	157457	200400
220	158168	199678
221	158922	199011
222	159764	198451
223	160499	197758
224	161236	197066
225	161906	196293
226	162598	195548
227	163302	194817
228	163977	194052
229	164619	193249
230	165359	192561
231	166062	191830
232	166785	191123
233	167508	190415
234	168225	189700
235	169050	189106
236	169786	188413
237	170595	187798
238	171336	187108
239	172061	186399
240	172809	185716
241	173512	184984
242	174208	184245
243	174884	183485
244	175627	182795
245	176334	182069
246	177074	181375
247	177749	180616
248	178476	179910
249	179215	179215
250	179994	178560
251	180732	177864
252	181502	177198
253	182164	176427
254	182944	175770
255	183791	175176
256	184553	174499
257	185315	173823
258	186113	173179
259	186831	172460
260	187621	171806
261	188301	171052
262	188966	170285
263	189716	169595
264	190521	168952
265	191181	168182
266	191952	167509
267	192773	166878
268	193488	166155
269	194233	165458
270	194944	164731
271	195612	163969
272	196322	163242
273	197014	162501
274	197697	161752
275	198347	160977
276	199110	160294
277	199816	159565
278	200592	158891
279	201408	158249
280	202142	157541
281	202868	156827
282	203570	156094
283	204328	155405
284	205099	154724
285	205883	154052
286	206568	153306
287	207302	152597
288	208089	151926
289	208782	151187
290	209475	150448
291	210271	149782
292	210981	149055
293	211723	148350
294	212482	147657
295	213223	146951
296	213955	146238
297	214749	145568
298	215447	144832
299	216110	144073
300	216897	143397
301	217585	142655
302	218254	141901
303	218946	141162
304	219735	140486
305	220454	139765
306	221188	139053
307	221919	138339
308	222667	137636
