iter	Logloss
0	0.5313876722
1	0.4099036995
2	0.3355401092
3	0.2878771644
4	0.2570771916
5	0.2371923091
6	0.2225825125
7	0.2130716651
8	0.2049262152
9	0.1982948874
10	0.1943378321
11	0.1904543508
12	0.1878322511
13	0.1852624961
14	0.1831574179
15	0.1817009208
16	0.1804316443
17	0.1787421645
18	0.1777781038
19	0.1765795373
20	0.175727121
21	0.1747521654
22	0.1741748085
23	0.1734632947
24	0.1728834057
25	0.1722654457
26	0.1718214352
27	0.1713311147
28	0.1709634519
29	0.1705177697
30	0.169901764
31	0.1694182654
32	0.1691463155
33	0.168612207
34	0.1683044315
35	0.1681398238
36	0.1678435129
37	0.167347488
38	0.1669752713
39	0.1667101275
40	0.1663006249
41	0.1660912283
42	0.1658842248
43	0.1657553948
44	0.1654600298
45	0.1651974918
46	0.1649992007
47	0.1647671111
48	0.1645598608
49	0.1643885778
50	0.1641732029
51	0.1639045409
52	0.1638065855
53	0.1636014576
54	0.1633810299
55	0.1632174443
56	0.1630709294
57	0.1629439984
58	0.1628342488
59	0.1625727267
60	0.1623930169
61	0.1623029613
62	0.1621075765
63	0.1619390318
64	0.1616764387
65	0.1614276516
66	0.1613185537
67	0.1611563719
68	0.1609568076
69	0.1608987423
70	0.1608236938
71	0.1607040505
72	0.1606406357
73	0.1604979841
74	0.160386359
75	0.1602840423
76	0.1601124106
77	0.1599824167
78	0.1598925364
79	0.1597834716
80	0.1596059195
81	0.1595183165
82	0.1594241848
83	0.1593080274
84	0.1592403966
85	0.1591624074
86	0.1590534815
87	0.1589665656
88	0.1588344023
89	0.1587320808
90	0.1586221385
91	0.15848587
92	0.1584824981
93	0.1583980561
94	0.1582947436
95	0.158192262
96	0.1581058912
97	0.1580168755
98	0.1579358471
99	0.1578685386
100	0.1578099963
101	0.1577397127
102	0.1576454488
103	0.1576413326
104	0.1575084842
105	0.1573933792
106	0.1572587471
107	0.1571994882
108	0.1571168241
109	0.1570480528
110	0.157006559
111	0.1568886672
112	0.1568295022
113	0.1567814176
114	0.156694075
115	0.156609723
116	0.1565036029
117	0.156414931
118	0.1563627521
119	0.1563246341
120	0.156264718
121	0.156163972
122	0.1561279158
123	0.1560477937
124	0.1559482906
125	0.1558511604
126	0.1557979769
127	0.1556873623
128	0.1556215166
129	0.1555559114
130	0.1554802928
131	0.1554454066
132	0.1553081937
133	0.1552469534
134	0.1551904763
135	0.1551731451
136	0.1551133214
137	0.1549990553
138	0.1549588749
139	0.1549111516
140	0.1548257077
141	0.1547020583
142	0.1546369858
143	0.1545580843
144	0.1544563088
145	0.1543561633
146	0.1542874462
147	0.1541998363
148	0.1541493906
149	0.154087139
150	0.1540203029
151	0.1539622553
152	0.1538724065
153	0.1538129591
154	0.1537582134
155	0.1536947357
156	0.1535939811
157	0.1535144882
158	0.1534233128
159	0.1533531445
160	0.1533204109
161	0.1532348592
162	0.1531855312
163	0.1531096223
164	0.1530361593
165	0.1529931338
166	0.1529238504
167	0.1528731018
168	0.1528084531
169	0.1527401038
170	0.1526692097
171	0.152590265
172	0.1525240081
173	0.1524803994
174	0.1524159525
175	0.1523473282
176	0.1523149263
177	0.1522593664
178	0.1521608147
179	0.1520942542
180	0.1520153427
181	0.1519638023
182	0.1518950378
183	0.1518489901
184	0.1518261401
185	0.1517811435
186	0.1517158925
187	0.1516696748
188	0.1516003631
189	0.1515469839
190	0.151500058
191	0.1514626162
192	0.1513851691
193	0.1513187803
194	0.1512645371
195	0.1511803539
196	0.1511580117
197	0.1510588924
198	0.1510211946
199	0.1509514187
200	0.1509194923
201	0.1508631776
202	0.1508145523
203	0.1507456449
204	0.1507106953
205	0.1506694573
206	0.1506018456
207	0.150506559
208	0.1504513795
209	0.1504049279
210	0.1503412126
211	0.1502675046
212	0.1502131664
213	0.1501668062
214	0.1501368038
215	0.1500779391
216	0.1500336906
217	0.1500176555
218	0.149980882
219	0.1499263958
220	0.1498633494
221	0.1497993133
222	0.149780623
223	0.149698277
224	0.1496615718
225	0.1496007557
226	0.1495331881
227	0.1494978912
228	0.1494287689
229	0.1493510205
230	0.1493097239
231	0.1492240338
232	0.1491780122
233	0.1491266822
234	0.149070639
235	0.149027704
236	0.1489849666
237	0.1489559584
238	0.1488835953
239	0.1488210335
240	0.1487616376
241	0.1487203888
242	0.1486799409
243	0.1486137461
244	0.1485504946
245	0.1485115069
246	0.1484649625
247	0.1484146442
248	0.1483561827
249	0.1483110446
250	0.1482607205
251	0.148206774
252	0.1481712077
253	0.1481030184
254	0.148037163
255	0.1479864103
256	0.1479399211
257	0.1479119603
258	0.1478743527
259	0.1477748095
260	0.1477323377
261	0.1476834271
262	0.147642034
263	0.1476087214
264	0.1475527751
265	0.1474916378
266	0.1474852845
267	0.1474519029
268	0.1474108368
269	0.1473568645
270	0.1473351312
271	0.1472973314
272	0.1472377197
273	0.1471919022
274	0.1471704135
275	0.1471211033
276	0.1470880665
277	0.1470667885
278	0.1470121858
279	0.1469732365
280	0.1469164044
281	0.1468958652
282	0.1468554644
283	0.1468242363
284	0.1467839722
285	0.1467439314
286	0.1466862864
287	0.1466368663
288	0.1466291985
289	0.1465515186
290	0.1465109809
291	0.1464869335
292	0.146465062
293	0.1463957896
294	0.1463366078
295	0.146264869
296	0.1462198589
297	0.1461966131
298	0.1461392888
299	0.1460802688
300	0.1460108843
301	0.1459531135
302	0.1459262408
303	0.145873932
304	0.1458185093
305	0.1457782951
306	0.1457648272
307	0.145754795
308	0.1457031296
309	0.1456504077
310	0.1455718102
311	0.1455122789
312	0.1454593941
313	0.1453992491
314	0.1453610864
315	0.1452965283
316	0.1452696243
317	0.1452071557
318	0.1451656565
319	0.1451243856
320	0.1450440526
321	0.1449844045
322	0.1449608792
323	0.1449316732
324	0.1448815469
325	0.1448301585
326	0.1447643484
327	0.1447062414
328	0.1446763821
329	0.1446386609
330	0.1445883678
331	0.1445435073
332	0.1444826694
333	0.1444491121
334	0.1443705323
335	0.1443259932
336	0.1443151151
337	0.1442443071
338	0.1442139105
339	0.1441855829
340	0.1441469692
341	0.144070024
342	0.1440417867
343	0.1440094477
344	0.1439815359
345	0.1439426896
346	0.1438915964
