iter	Passed	Remaining
0	1740	868351
1	3370	839331
2	4939	818305
3	6541	811181
4	8134	805283
5	9665	795823
6	11421	804405
7	12715	782010
8	14232	776468
9	15762	772383
10	17277	768070
11	18834	765924
12	20470	766848
13	22237	771972
14	23953	774495
15	25338	766495
16	26863	763245
17	28482	762690
18	30006	759629
19	31631	759154
20	33417	762226
21	35019	760876
22	36583	758719
23	38024	754162
24	39842	757013
25	41456	755783
26	42840	750506
27	44580	751493
28	46164	749768
29	47722	747644
30	49157	743710
31	50784	742728
32	52565	743886
33	54338	744752
34	56001	744020
35	57337	739015
36	59088	739405
37	60724	738281
38	62419	737830
39	63873	734543
40	65438	732589
41	67115	731878
42	68795	731156
43	70298	728549
44	71670	724668
45	72903	719529
46	74214	715298
47	75863	714380
48	77556	713840
49	79090	711811
50	80586	709477
51	82084	707189
52	83824	706975
53	85396	705311
54	86738	701794
55	88485	701561
56	89748	697516
57	91444	696871
58	93130	696109
59	94755	694873
60	96331	693272
61	97821	691064
62	99331	689013
63	101121	688887
64	102807	688021
65	104387	686428
66	106175	686181
67	107590	683518
68	109224	682259
69	110806	680669
70	112455	679482
71	114144	678526
72	115718	676871
73	117346	675534
74	119198	675458
75	120546	672522
76	122050	670485
77	123418	667723
78	124770	664913
79	126291	663032
80	127992	662083
81	129272	658975
82	130699	656644
83	132202	654719
84	133747	653000
85	135272	651196
86	136892	649845
87	138602	648913
88	139910	646105
89	141691	645482
90	143453	644750
91	145209	643973
92	145574	637082
93	147143	635534
94	148841	634533
95	150427	633049
96	152038	631664
97	153525	629768
98	155048	628026
99	156549	626196
100	158106	624600
101	159838	623683
102	161300	621712
103	161784	616025
104	163523	615159
105	164979	613225
106	166419	611241
107	167907	609440
108	169614	608432
109	171231	607092
110	172896	605917
111	174706	605232
112	176398	604124
113	177951	602539
114	179715	601655
115	181515	600878
116	182981	598990
117	184534	597391
118	185892	595167
119	187641	594197
120	189164	592507
121	190602	590555
122	192402	589722
123	193840	587773
124	195212	585636
125	196883	584400
126	198634	583390
127	200083	581492
128	201744	580209
129	203258	578503
130	204951	577305
131	206524	575764
132	208200	574507
133	209856	573188
134	211531	571917
135	212292	568195
136	213949	566888
137	215435	565128
138	216885	563278
139	218076	560767
140	219768	559553
141	221318	557972
142	223023	556780
143	224689	555483
144	226020	553360
145	227581	551807
146	229210	550418
147	230933	549247
148	232582	547895
149	234127	546298
150	235641	544627
151	237366	543444
152	238918	541861
153	240498	540340
154	241923	538474
155	243473	536890
156	245215	535724
157	246620	533823
158	248197	532297
159	249683	530577
160	250826	528138
161	252340	526488
162	253810	524748
163	255189	522826
164	256785	521351
165	258267	519647
166	259814	518073
167	261476	516726
168	263058	515220
169	264590	513617
170	266266	512291
171	267899	510877
172	269560	509515
173	270888	507526
174	272571	506205
175	274058	504517
176	275719	503150
177	277244	501531
178	278554	499530
179	279895	497591
180	281147	495502
181	282563	493709
182	284116	492158
183	285819	490863
184	287327	489234
185	289105	488060
186	290659	486505
187	292177	484890
188	293841	483516
189	295536	482191
190	296981	480456
191	298462	478784
192	299740	476789
193	301194	475080
194	302761	473550
195	304073	471624
196	305661	470129
197	307023	468289
198	308512	466645
199	310040	465060
200	311603	463529
201	312833	461506
202	313965	459347
203	315378	457607
204	316786	455863
205	318089	453972
206	319498	452236
207	321244	450978
208	322657	449250
209	324267	447798
210	325885	446355
211	327569	444999
212	329104	443440
213	330720	441991
214	332212	440374
215	333682	438730
216	335003	436894
217	336321	435057
218	338043	433745
219	339613	432235
220	341197	430742
221	342735	429191
222	344565	428002
223	345995	426315
224	347602	424847
225	349047	423181
226	350646	421702
227	352280	420263
228	353799	418688
229	355305	417097
230	356867	415573
231	358506	414137
232	360143	412696
233	361774	411247
234	363291	409668
235	364838	408124
236	366464	406667
237	368068	405184
238	369559	403577
239	371222	402157
240	372721	400559
241	374326	399075
242	375819	397471
243	377208	395760
244	378818	394280
245	380389	392760
246	381875	391152
247	383333	389516
248	384883	387974
249	386344	386344
250	387957	384866
251	389546	383362
252	391117	381842
253	392484	380122
254	394142	378685
255	395746	377195
256	397168	375533
257	398844	374109
258	400526	372691
259	402096	371165
260	403828	369789
261	405382	368248
262	406843	366622
263	408399	365084
264	410011	363595
265	411542	362033
266	413282	360654
267	415065	359310
268	416484	357650
269	418120	356176
270	419677	354635
271	421187	353054
272	422777	351539
273	424284	349957
274	425711	348309
275	427218	346728
276	428899	345287
277	430396	343698
278	431962	342163
279	433726	340784
280	435455	339376
281	436837	337697
282	438439	336188
283	440086	334713
284	441627	333157
285	443193	331620
286	444759	330083
287	446329	328548
288	447991	327080
289	449556	325540
290	450993	323909
291	452631	322422
292	454110	320822
293	455837	319396
294	457498	317922
295	459035	316362
296	460683	314878
297	462432	313460
298	463921	311866
299	465483	310322
300	467059	308787
301	468547	307193
302	470080	305629
303	471569	304037
304	473229	302556
305	474578	300876
306	476302	299434
307	477840	297874
308	479404	296330
309	481040	294831
310	482482	293213
311	484052	291672
312	485685	290170
313	487210	288602
314	488854	287104
315	490395	285546
316	491913	283975
317	493460	282420
318	494825	280762
319	496430	279242
320	497808	277594
321	499312	276017
322	501101	274597
323	502580	273006
324	504174	271478
325	505381	269743
326	506661	268050
327	508170	266479
328	509747	264944
329	511531	263515
330	513174	262013
331	514559	260379
332	515995	258772
333	517422	257161
334	518994	255624
335	520660	254131
336	522187	252571
337	523911	251105
338	525465	249557
339	527017	248008
340	528462	246409
341	529906	244810
342	531554	243306
343	533215	241807
344	534844	240292
345	536416	238752
346	537735	237099
347	539051	235447
348	540499	233854
349	541847	232220
350	543397	230673
351	545199	229231
352	546867	227732
353	548524	226227
354	550187	224724
355	551587	223114
356	553148	221569
357	554873	220089
358	556407	218533
359	558037	217014
360	559712	215512
361	561234	213951
362	562749	212387
363	564055	210746
364	565485	209152
365	567178	207655
366	568565	206046
367	569928	204431
368	571478	202882
369	573098	201359
370	574769	199852
371	576264	198284
372	577635	196674
